Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,470,364,430,458,1132,309,13949,0.0
jmeter_view_issue,18197,172,164,209,231,285,121,1117,0.0
jmeter_search_jql,5501,505,492,593,628,697,367,1093,0.0
jmeter_view_dashboard,5077,278,270,331,351,397,202,1015,0.0
jmeter_view_backlog,2539,282,272,334,353,396,226,633,0.0
jmeter_create_issue:open_quick_create,1693,68,65,80,86,110,52,150,0.0
jmeter_create_issue:fill_and_submit_issue_form,1693,194,190,216,230,261,162,1031,0.0
jmeter_view_project_summary,1693,176,174,194,206,246,139,564,0.0
jmeter_edit_issue:open_editor,1692,78,76,88,92,114,64,167,0.0
jmeter_edit_issue:save_edit,1692,301,288,349,412,535,234,815,0.0
jmeter_browse_projects,1692,47,45,55,59,92,37,155,0.0
jmeter_view_kanban_board,1270,205,202,233,246,270,129,480,0.0
jmeter_view_scrum_board,1270,106,99,135,143,164,77,478,0.0
jmeter_add_comment:open_comment,846,57,56,64,67,95,43,139,0.0
jmeter_add_comment:save_comment,846,163,160,188,201,235,124,268,0.0
jmeter_browse_boards,846,65,63,72,76,108,50,385,0.0
selenium_login:open_login_page,225,114,109,117,120,153,99,898,0.0
selenium_login:login_and_view_dashboard,225,538,519,562,574,1240,451,2395,0.0
selenium_login,225,653,631,674,696,1347,555,3294,0.0
selenium_browse_projects_list,225,292,283,341,349,360,241,587,0.0
selenium_browse_boards_list,225,291,278,294,303,371,265,2082,0.0
selenium_create_issue:open_quick_create,225,769,789,827,838,860,632,1026,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,225,618,617,623,630,638,607,644,0.0
selenium_create_issue:fill_and_submit_issue_form,225,1193,1189,1244,1252,1262,1085,1330,0.0
selenium_create_issue,225,1963,1980,2047,2073,2096,1745,2356,0.0
selenium_edit_issue:open_edit_issue_form,225,605,619,682,721,778,456,1196,0.0
selenium_edit_issue:save_edit_issue_form,225,576,569,620,633,665,527,690,0.0
selenium_edit_issue,225,1595,1591,1646,1659,1707,1498,2265,0.0
selenium_save_comment:open_comment_form,225,397,394,451,467,511,258,661,0.0
selenium_save_comment:submit_form,225,784,776,831,848,997,669,1681,0.0
selenium_save_comment,225,1343,1335,1401,1424,1696,1160,2222,0.0
selenium_search_jql,225,1242,1230,1293,1310,1358,1166,2472,0.0
selenium_view_scrum_board_backlog,225,1108,1009,1393,1405,1435,782,3814,0.0
selenium_view_scrum_board,225,823,803,851,902,929,782,2919,0.0
selenium_view_kanban_board,225,747,764,973,1058,1371,339,1569,0.0
selenium_view_dashboard,225,367,343,506,542,577,219,737,0.0
selenium_view_issue,225,671,669,724,749,804,544,1836,0.0
selenium_project_summary,225,470,467,526,550,582,342,2154,0.0
selenium_log_out,225,358,360,394,411,441,299,450,0.0
