Summary run status                                 OK
                 
Artifacts dir                                      2021-02-27_05-11-11 
OS                                                 Linux               
DC Apps Performance Toolkit version                4.0.0               
Application                                        jira 8.13.3         
Dataset info                                       1054909 issues      
Application nodes count                            1                   
Concurrency                                        200                 
Expected test run duration from yml file           2700 sec            
Actual test run duration                           2896 sec            
Finished                                           (True, 'OK')        
Compliant                                          (True, 'OK')        
Success                                            (True, 'OK')        
Has app-specific actions                           True                

Action                                            Success Rate        Avg time            Status              
jmeter_add_comment:open_comment                    100.0               0.066               OK                  
jmeter_add_comment:save_comment                    100.0               0.205               OK                  
jmeter_browse_boards                               100.0               0.066               OK                  
jmeter_browse_projects                             100.0               0.047               OK                  
jmeter_create_issue:fill_and_submit_issue_form     100.0               0.241               OK                  
jmeter_create_issue:open_quick_create              100.0               0.079               OK                  
jmeter_edit_issue:open_editor                      100.0               0.081               OK                  
jmeter_edit_issue:save_edit                        100.0               0.337               OK                  
jmeter_login_and_view_dashboard                    100.0               0.364               OK                  
jmeter_search_jql                                  100.0               0.546               OK                  
jmeter_view_backlog                                100.0               0.277               OK                  
jmeter_view_dashboard                              100.0               0.296               OK                  
jmeter_view_issue                                  100.0               0.19                OK                  
jmeter_view_kanban_board                           100.0               0.237               OK                  
jmeter_view_project_summary                        100.0               0.217               OK                  
jmeter_view_scrum_board                            100.0               0.119               OK                  
selenium_a_login                                   100.0               0.849               OK                  
selenium_browse_boards_list                        100.0               0.312               OK                  
selenium_browse_projects_list                      100.0               0.297               OK                  
selenium_create_issue                              99.53               2.0                 OK                  
selenium_edit_issue                                100.0               1.593               OK                  
selenium_save_comment                              100.0               1.334               OK                  
selenium_search_jql                                100.0               1.368               OK                  
selenium_view_backlog_for_scrum_board              100.0               1.14                OK                  
selenium_view_dashboard                            100.0               0.373               OK                  
selenium_view_issue                                100.0               0.663               OK                  
selenium_view_kanban_board                         100.0               0.735               OK                  
selenium_view_project_summary                      100.0               0.455               OK                  
selenium_view_scrum_board                          100.0               0.817               OK                  
selenium_z_log_out                                 100.0               0.372               OK                  
selenium_custom_action                             0.0                 0.01                Fail                APP-SPECIFIC        
