Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,364,344,424,457,578,290,1243,0.0
jmeter_view_issue,18199,190,167,275,310,367,120,16904,0.0
jmeter_search_jql,5502,546,511,723,789,874,354,983,0.0
jmeter_view_dashboard,5079,296,273,414,455,522,205,1255,0.0
jmeter_view_backlog,2539,277,270,326,343,386,215,1074,0.0
jmeter_create_issue:open_quick_create,1693,79,72,109,127,160,53,198,0.0
jmeter_create_issue:fill_and_submit_issue_form,1693,241,199,354,377,427,162,491,0.0
jmeter_view_project_summary,1693,217,190,306,340,401,143,631,0.0
jmeter_edit_issue:open_editor,1693,81,79,91,95,125,65,811,0.0
jmeter_edit_issue:save_edit,1693,337,292,379,444,558,230,20198,0.0
jmeter_browse_projects,1693,47,46,54,56,85,37,148,0.0
jmeter_view_kanban_board,1270,237,201,352,380,425,150,1022,0.0
jmeter_view_scrum_board,1270,119,117,150,166,194,77,236,0.0
jmeter_add_comment:open_comment,846,66,57,96,109,140,44,1205,0.0
jmeter_add_comment:save_comment,846,205,163,269,294,329,125,15958,0.0
jmeter_browse_boards,846,66,65,76,79,103,51,140,0.0
selenium_login:open_login_page,211,114,110,123,128,161,102,401,0.0
selenium_login:login_and_view_dashboard,211,714,526,1261,1297,1419,442,1626,0.0
selenium_login,211,829,643,1370,1410,1524,547,1955,0.0
selenium_browse_projects_list,211,296,291,339,352,366,232,385,0.0
selenium_browse_boards_list,211,304,280,309,368,768,266,815,0.0
selenium_create_issue:open_quick_create,211,767,785,811,822,830,640,968,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,210,619,617,628,633,645,606,710,0.0
selenium_create_issue:fill_and_submit_issue_form,211,1223,1199,1246,1262,2347,1078,3615,0.0
selenium_create_issue,211,1991,1978,2037,2056,3113,1729,4269,0.0
selenium_edit_issue:open_edit_issue_form,211,595,612,668,710,742,500,748,0.0
selenium_edit_issue:save_edit_issue_form,211,574,566,618,626,694,505,731,0.0
selenium_edit_issue,211,1592,1587,1645,1667,1703,1502,1728,0.0
selenium_save_comment:open_comment_form,211,393,392,438,457,483,291,698,0.0
selenium_save_comment:submit_form,211,774,763,847,918,1011,658,1107,0.0
selenium_save_comment,211,1333,1321,1419,1492,1738,1124,1771,0.0
selenium_search_jql,211,1367,1347,1469,1510,1714,1242,2524,0.0
selenium_view_scrum_board_backlog,211,1139,1351,1400,1415,1448,790,1522,0.0
selenium_view_scrum_board,211,816,805,891,902,924,441,928,0.0
selenium_view_kanban_board,211,734,740,995,1072,1218,361,1392,0.0
selenium_view_dashboard,211,372,351,494,587,752,224,871,0.0
selenium_view_issue,211,662,665,722,730,762,535,817,0.0
selenium_project_summary,211,454,443,515,550,572,316,588,0.0
selenium_app_custom_action:view_issue,211,0,0,0,0,0,0,0,0.0
selenium_app_custom_action,211,0,0,0,0,0,0,0,0.0
selenium_log_out,211,371,362,430,441,467,289,492,0.0
