Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,408,387,479,530,735,303,900,0.0
jmeter_view_issue,18194,204,192,265,295,354,132,1286,0.0
jmeter_search_jql,5500,568,555,676,712,785,394,1902,0.0
jmeter_view_dashboard,5077,317,309,387,421,498,207,1372,0.0
jmeter_view_backlog,2538,329,315,411,438,497,231,689,0.0
jmeter_create_issue:open_quick_create,1693,79,76,99,109,136,54,198,0.0
jmeter_create_issue:fill_and_submit_issue_form,1692,250,228,334,354,383,180,480,0.0
jmeter_view_project_summary,1692,202,196,237,261,321,150,413,0.0
jmeter_edit_issue:open_editor,1692,88,84,99,111,145,66,986,0.0
jmeter_edit_issue:save_edit,1692,357,338,440,473,579,194,1584,0.0
jmeter_browse_projects,1692,54,53,62,66,91,39,134,0.0
jmeter_view_kanban_board,1269,242,234,305,333,389,169,566,0.0
jmeter_view_scrum_board,1269,127,115,175,191,222,84,336,0.0
jmeter_add_comment:open_comment,846,68,63,95,109,138,45,164,0.0
jmeter_add_comment:save_comment,846,182,176,214,231,250,132,1247,0.0
jmeter_browse_boards,846,69,66,79,85,117,53,518,0.0
selenium_login:open_login_page,213,118,114,126,137,218,102,448,0.0
selenium_login:login_and_view_dashboard,213,536,524,594,620,719,437,837,0.0
selenium_login,213,655,642,717,736,961,550,1286,0.0
selenium_browse_projects_list,213,305,294,349,353,367,261,371,0.0
selenium_browse_boards_list,213,323,282,327,784,803,266,812,0.0
selenium_create_issue:open_quick_create,213,774,794,827,839,857,645,987,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,213,617,617,623,625,631,607,639,0.0
selenium_create_issue:fill_and_submit_issue_form,213,1199,1203,1241,1251,1279,1081,1315,0.0
selenium_create_issue,213,1974,1994,2052,2064,2108,1730,2303,0.0
selenium_edit_issue:open_edit_issue_form,213,589,568,656,679,741,464,946,0.0
selenium_edit_issue:save_edit_issue_form,213,579,568,618,634,690,522,775,0.0
selenium_edit_issue,213,1607,1597,1658,1678,1792,1538,1952,0.0
selenium_save_comment:open_comment_form,213,390,390,449,466,490,255,520,0.0
selenium_save_comment:submit_form,213,806,762,837,867,1076,653,7522,0.0
selenium_save_comment,213,1368,1322,1403,1437,1743,1179,8050,0.0
selenium_search_jql,213,1223,1217,1282,1309,1365,1142,1369,0.0
selenium_view_scrum_board_backlog,213,1131,1083,1426,1450,1482,548,1526,0.0
selenium_view_scrum_board,213,824,810,886,912,944,785,1038,0.0
selenium_view_kanban_board,213,793,822,1076,1199,1367,390,1567,0.0
selenium_view_dashboard,213,357,329,500,554,667,220,787,0.0
selenium_view_issue,213,684,681,754,781,800,551,891,0.0
selenium_project_summary,213,456,445,523,543,567,323,621,0.0
selenium_app_custom_action:view_issue,213,497,491,556,570,598,425,675,0.0
selenium_app_custom_action,213,497,491,556,570,598,425,675,0.0
selenium_log_out,213,352,351,383,389,403,299,546,0.0
