Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,424,400,470,497,988,314,2282,0.0
jmeter_view_issue,18197,159,155,183,191,213,110,1359,0.0
jmeter_search_jql,5501,479,470,541,568,632,373,1057,0.0
jmeter_view_dashboard,5078,281,276,329,346,393,223,1346,0.0
jmeter_view_backlog,2539,315,313,356,373,420,254,518,0.0
jmeter_open_quick_create,1693,81,79,90,95,110,69,178,0.0
jmeter_create_issue,1693,192,179,236,254,291,153,967,0.0
jmeter_view_project_summary,1693,194,192,228,253,310,143,404,0.0
jmeter_open_editor,1692,76,74,88,92,103,61,131,0.0
jmeter_save_edit,1692,274,260,326,359,460,209,1189,0.0
jmeter_browse_projects,1692,47,45,54,57,65,40,86,0.0
jmeter_view_kanban_board,1269,707,690,847,872,933,491,1063,0.0
jmeter_view_scrum_board,1269,138,138,179,189,214,84,241,0.0
jmeter_open_comment,846,65,63,80,85,102,48,1005,0.0
jmeter_save_comment,846,146,140,176,189,214,108,235,0.0
jmeter_browse_boards,846,71,68,83,85,95,59,128,0.0
selenium_login:open_login_page,239,102,94,99,103,123,91,1643,0.0
selenium_login:login_and_view_dashboard,239,464,457,480,492,523,361,2375,0.0
selenium_login,239,567,553,581,591,620,459,4018,0.0
selenium_browse_projects_list,239,328,318,361,366,377,286,815,0.0
selenium_browse_boards_list,239,282,249,262,369,764,230,2187,0.0
selenium_create_issue:open_quick_create,239,668,665,693,700,722,627,921,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,239,600,598,601,604,611,590,1128,0.0
selenium_create_issue:fill_and_submit_issue_form,239,1099,1098,1139,1149,1164,1005,1750,0.0
selenium_create_issue,239,1768,1765,1822,1833,1854,1647,2671,0.0
selenium_edit_issue:open_edit_issue_form,239,567,568,615,622,648,440,1105,0.0
selenium_edit_issue:save_edit_issue_form,239,529,523,549,604,628,481,642,0.0
selenium_edit_issue,239,1381,1374,1420,1449,1513,1294,2140,0.0
selenium_save_comment:open_comment_form,239,318,317,336,346,374,232,397,0.0
selenium_save_comment:submit_form,239,722,710,747,765,873,628,2998,0.0
selenium_save_comment,239,1193,1184,1221,1240,1343,1080,3473,0.0
selenium_search_jql,239,1209,1210,1246,1257,1294,1093,2350,0.0
selenium_view_scrum_board_backlog,239,630,564,1149,1162,1184,401,2982,0.0
selenium_view_scrum_board,239,596,405,967,979,1012,278,2922,0.0
selenium_view_kanban_board,239,1079,1133,1314,1406,1650,724,1909,0.0
selenium_view_dashboard,239,383,372,559,603,694,193,823,0.0
selenium_view_issue,239,607,608,656,667,699,474,1668,0.0
selenium_project_summary,239,411,390,461,490,528,286,2005,0.0
selenium_app_custom_action:view_issue,239,455,447,473,496,582,394,1577,0.0
selenium_app_custom_action,239,455,447,474,496,583,394,1577,0.0
selenium_log_out,239,320,314,360,374,391,277,400,0.0
