Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,479,408,540,662,1215,336,4953,0.0
jmeter_view_issue,18200,157,154,179,191,252,108,2455,0.0
jmeter_view_dashboard,5079,289,280,342,363,413,226,1049,0.0
jmeter_view_backlog,2539,335,329,392,410,451,256,1736,0.0
jmeter_search_jql,5502,498,491,570,595,652,377,6500,0.0
jmeter_open_quick_create,1693,71,68,78,83,105,58,733,0.0
jmeter_create_issue,1693,212,213,256,272,301,149,902,0.0
jmeter_view_project_summary,1693,194,186,232,253,316,140,1488,0.0
jmeter_open_editor,1693,78,76,91,96,113,60,554,0.0
jmeter_save_edit,1692,290,279,343,386,472,203,1115,0.0
jmeter_browse_projects,1692,49,47,57,61,76,40,148,0.0
jmeter_view_kanban_board,1269,910,894,1134,1257,1433,537,1871,0.0
jmeter_view_scrum_board,1269,134,131,177,189,221,82,584,0.0
jmeter_open_comment,847,64,62,76,82,95,48,820,0.0
jmeter_save_comment,846,154,151,188,205,227,112,258,0.0
jmeter_browse_boards,846,68,66,75,79,101,56,405,0.0
selenium_login:open_login_page,234,110,92,101,106,122,87,3611,0.0
selenium_login:login_and_view_dashboard,234,466,442,473,484,1190,390,3449,0.0
selenium_login,234,577,538,571,587,1283,481,7060,0.0
selenium_browse_projects_list,234,332,322,371,375,383,274,997,0.0
selenium_browse_boards_list,234,274,246,258,268,766,232,3892,0.0
selenium_create_issue:open_quick_create,234,672,670,704,712,772,620,1096,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,234,599,599,604,606,612,591,621,0.0
selenium_create_issue:fill_and_submit_issue_form,234,1101,1099,1147,1156,1170,993,1179,0.0
selenium_create_issue,234,1774,1776,1839,1850,1873,1630,2272,0.0
selenium_edit_issue:open_edit_issue_form,234,569,575,615,627,654,434,1410,0.0
selenium_edit_issue:save_edit_issue_form,234,538,522,610,621,640,478,664,0.0
selenium_edit_issue,234,1393,1376,1463,1479,1541,1314,2411,0.0
selenium_save_comment:open_comment_form,234,334,337,392,397,411,248,435,0.0
selenium_save_comment:submit_form,234,695,688,730,748,914,587,1916,0.0
selenium_save_comment,234,1158,1151,1213,1236,1346,1026,2406,0.0
selenium_search_jql,234,1212,1200,1258,1284,1345,1086,2926,0.0
selenium_view_scrum_board_backlog,234,647,568,1150,1169,1197,339,3220,0.0
selenium_view_scrum_board,234,586,392,970,981,1044,267,3396,0.0
selenium_view_kanban_board,234,1359,1292,1738,1765,2035,717,7399,0.0
selenium_view_dashboard,234,380,370,558,660,689,194,882,0.0
selenium_view_issue,234,600,598,651,666,700,441,2027,0.0
selenium_project_summary,234,431,422,490,511,536,279,2135,0.0
selenium_app_custom_action:view_issue,234,441,438,479,491,532,388,572,0.0
selenium_app_custom_action,234,442,438,479,491,532,388,573,0.0
selenium_log_out,234,310,304,345,360,380,265,399,0.0
