Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,476,470,564,598,700,357,1137,0.0
jmeter_view_issue,18199,206,189,281,319,394,127,1116,0.0
jmeter_search_jql,5502,633,604,811,897,1001,398,1448,0.0
jmeter_view_dashboard,5079,388,375,487,555,677,251,886,0.0
jmeter_view_backlog,2539,403,391,488,523,583,280,1326,0.0
jmeter_open_quick_create,1693,82,76,108,121,149,55,174,0.0
jmeter_create_issue,1693,293,268,407,438,493,201,567,0.0
jmeter_view_project_summary,1693,242,214,350,442,525,171,657,0.0
jmeter_open_editor,1693,92,90,109,119,135,72,165,0.0
jmeter_save_edit,1692,366,350,441,494,666,256,994,0.0
jmeter_browse_projects,1692,61,59,72,79,97,44,924,0.0
jmeter_view_kanban_board,1269,1330,1332,1545,1609,1776,847,3005,0.0
jmeter_view_scrum_board,1269,170,158,253,284,364,90,477,0.0
jmeter_open_comment,847,86,80,112,126,152,60,207,0.0
jmeter_save_comment,847,237,225,317,358,406,145,448,0.0
jmeter_browse_boards,846,86,82,104,116,128,62,504,0.0
selenium_login:open_login_page,223,104,99,108,119,149,88,883,0.0
selenium_login:login_and_view_dashboard,223,523,469,560,1143,1215,401,1226,0.0
selenium_login,223,628,570,671,1253,1323,504,1774,0.0
selenium_browse_projects_list,223,337,331,377,382,397,275,458,0.0
selenium_browse_boards_list,223,367,252,753,762,784,234,793,0.0
selenium_create_issue:open_quick_create,223,676,677,709,715,753,623,765,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,223,609,599,605,611,1113,590,1117,0.0
selenium_create_issue:fill_and_submit_issue_form,223,1115,1107,1158,1175,1616,988,1658,0.0
selenium_create_issue,223,1792,1788,1848,1870,2302,1613,2385,0.0
selenium_edit_issue:open_edit_issue_form,223,576,575,631,650,669,411,676,0.0
selenium_edit_issue:save_edit_issue_form,223,548,541,607,623,665,454,793,0.0
selenium_edit_issue,223,1419,1413,1478,1503,1568,1323,1662,0.0
selenium_save_comment:open_comment_form,223,332,330,367,399,423,230,510,0.0
selenium_save_comment:submit_form,223,721,713,782,814,907,627,934,0.0
selenium_save_comment,223,1205,1197,1273,1326,1623,1077,1689,0.0
selenium_search_jql,223,1130,1124,1200,1261,1349,1031,1437,0.0
selenium_view_scrum_board_backlog,223,560,555,603,792,1204,394,1340,0.0
selenium_view_scrum_board,223,579,410,984,1002,1039,279,1459,0.0
selenium_view_kanban_board,223,1785,1786,2249,2380,2793,1229,2913,0.0
selenium_view_dashboard,223,394,396,566,626,707,203,721,0.0
selenium_view_issue,223,614,615,673,684,713,477,781,0.0
selenium_project_summary,223,427,420,494,522,573,280,607,0.0
selenium_app_custom_action:view_issue,223,473,458,534,557,593,402,639,0.0
selenium_app_custom_action,223,473,458,534,557,593,402,639,0.0
selenium_log_out,223,318,311,357,367,419,260,425,0.0
