Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,611,446,571,633,6517,347,12556,0.0
jmeter_view_issue,18199,183,175,222,243,295,129,1106,0.0
jmeter_view_dashboard,5078,344,332,421,447,494,245,1080,0.0
jmeter_search_jql,5501,566,552,676,706,758,384,1443,0.0
jmeter_view_backlog,2539,360,347,433,458,505,282,950,0.0
jmeter_open_quick_create,1693,71,69,84,94,110,52,854,0.0
jmeter_create_issue,1693,246,242,279,297,331,198,461,0.0
jmeter_view_kanban_board,1269,963,968,1183,1230,1310,548,1973,0.0
jmeter_view_project_summary,1693,252,210,366,467,726,164,1254,0.0
jmeter_view_scrum_board,1269,150,154,197,209,241,91,285,0.0
jmeter_open_editor,1692,87,84,100,112,127,70,169,0.0
jmeter_save_edit,1692,353,335,438,482,601,260,896,0.0
jmeter_browse_projects,1692,57,56,67,75,92,43,118,0.0
jmeter_open_comment,847,75,72,90,104,122,56,165,0.0
jmeter_save_comment,846,203,194,250,279,365,138,431,0.0
jmeter_browse_boards,846,76,75,84,89,109,61,121,0.0
selenium_login:open_login_page,238,102,97,106,112,129,89,971,0.0
selenium_login:login_and_view_dashboard,238,610,479,1180,1205,1246,407,2655,0.0
selenium_login,238,712,578,1285,1303,1359,506,3627,0.0
selenium_browse_projects_list,238,313,310,334,362,386,271,617,0.0
selenium_browse_boards_list,238,315,251,707,755,776,233,2418,0.0
selenium_create_issue:open_quick_create,238,679,680,718,729,773,603,940,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,238,603,600,606,610,617,590,1111,0.0
selenium_create_issue:fill_and_submit_issue_form,238,1152,1111,1160,1174,3336,1005,3452,0.0
selenium_create_issue,238,1832,1794,1865,1898,3976,1630,4133,0.0
selenium_edit_issue:open_edit_issue_form,238,581,584,635,654,668,393,1084,0.0
selenium_edit_issue:save_edit_issue_form,238,555,546,617,636,682,469,709,0.0
selenium_edit_issue,238,1435,1424,1509,1532,1607,1336,2070,0.0
selenium_save_comment:open_comment_form,238,338,338,394,404,422,233,528,0.0
selenium_save_comment:submit_form,238,761,741,820,855,951,616,3175,0.0
selenium_save_comment,238,1244,1227,1314,1344,1644,1038,3681,0.0
selenium_search_jql,238,1097,1084,1151,1164,1215,1017,2260,0.0
selenium_view_scrum_board_backlog,238,544,532,601,615,1184,402,2491,0.0
selenium_view_scrum_board,238,645,424,993,1006,1041,267,3359,0.0
selenium_view_kanban_board,238,1344,1280,1652,1757,2006,747,2197,0.0
selenium_view_dashboard,238,381,381,559,607,707,198,782,0.0
selenium_view_issue,238,623,618,673,687,761,473,1783,0.0
selenium_project_summary,238,437,430,498,519,547,280,2124,0.0
selenium_log_out,238,315,314,352,366,388,256,420,0.0
