Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,474,402,549,612,2426,204,4913,0.0
jmeter_view_dashboard,5079,274,274,337,370,442,128,1112,0.0
jmeter_view_issue,18199,184,182,213,225,254,129,2403,0.0
jmeter_search_jql,5503,459,469,533,557,639,280,3617,0.0
jmeter_view_backlog,2539,279,289,335,347,381,162,2486,0.0
jmeter_create_issue:open_quick_create,1693,89,85,96,101,152,74,1403,0.0
jmeter_create_issue:fill_and_submit_issue_form,1693,266,277,307,318,349,179,2296,0.0
jmeter_view_kanban_board,1270,219,220,266,282,316,100,1167,0.0
jmeter_view_scrum_board,1270,120,117,150,157,174,77,300,0.0
jmeter_view_project_summary,1693,221,223,247,258,328,108,552,0.0
jmeter_edit_issue:open_editor,1693,89,87,98,103,118,67,791,0.0
jmeter_edit_issue:save_edit,1692,369,360,440,485,678,201,857,0.0
jmeter_browse_projects,1692,48,47,53,56,62,39,179,0.0
jmeter_add_comment:open_comment,847,56,55,63,68,85,45,178,0.0
jmeter_add_comment:save_comment,847,158,154,176,186,249,131,320,0.0
jmeter_browse_boards,846,63,61,70,73,101,50,217,0.0
selenium_login:open_login_page,216,112,109,120,124,141,100,385,0.0
selenium_login:login_and_view_dashboard,216,549,531,609,623,680,449,1715,0.0
selenium_login,216,663,644,723,734,790,556,2101,0.0
selenium_browse_projects_list,216,292,284,340,354,366,268,368,0.0
selenium_browse_boards_list,216,285,279,288,292,344,267,827,0.0
selenium_create_issue:open_quick_create,216,754,778,826,836,855,636,866,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,216,619,616,623,625,628,606,1132,0.0
selenium_create_issue:fill_and_submit_issue_form,216,1198,1200,1246,1254,1288,1077,1774,0.0
selenium_create_issue,216,1952,1962,2048,2066,2105,1750,2501,0.0
selenium_edit_issue:open_edit_issue_form,216,586,566,656,670,759,474,798,0.0
selenium_edit_issue:save_edit_issue_form,216,574,564,618,630,652,501,936,0.0
selenium_edit_issue,216,1589,1585,1642,1653,1690,1489,1964,0.0
selenium_save_comment:open_comment_form,216,394,392,432,457,499,270,612,0.0
selenium_save_comment:submit_form,216,754,750,792,812,895,634,1153,0.0
selenium_save_comment,216,1312,1307,1356,1386,1673,1152,1761,0.0
selenium_search_jql,216,1202,1197,1232,1246,1283,1163,1471,0.0
selenium_view_scrum_board_backlog,216,1128,1356,1400,1414,1467,797,1554,0.0
selenium_view_scrum_board,216,814,804,888,899,937,456,946,0.0
selenium_view_kanban_board,216,794,803,1020,1158,1572,396,1627,0.0
selenium_view_dashboard,216,362,327,542,593,768,221,802,0.0
selenium_view_issue,216,669,672,742,766,810,519,849,0.0
selenium_project_summary,216,478,478,531,556,589,405,688,0.0
selenium_app_custom_action:view_issue,216,478,476,513,532,567,428,605,0.0
selenium_app_custom_action,216,478,476,513,533,567,429,606,0.0
selenium_log_out,216,359,356,390,400,413,318,423,0.0
